source_id,record_type,status,priority,provider,title,description,urls_canonical,urls_landing,urls_api,urls_download,urls_related,rights_basis,license_expression,commercial_use_allowed,derivatives_allowed,scan_redistribution_allowed,attribution_required,rights_evidence_text,rights_terms_url,rights_verification_status,rights_verified_at,scope_date_range,scope_languages,scope_document_types,scope_creator_names,scope_expected_handwriting,scope_estimated_scan_count,ingest_method,ingest_access_notes,ingest_agent_notes,ingest_blocked_reason,evidence_count
commons__hatikvah_imber_manuscript,item,verified,high,Wikimedia Commons,Naftali Herz Imber's handwritten 'Hatikvah' manuscript (1907-1908),"Handwritten Hebrew manuscript of the first stanza and chorus of 'Hatikvah' by Naftali Herz Imber (d. 1909), with author signature, dated September 1907 - September 1908.",https://commons.wikimedia.org/wiki/File:Hatikvah.jpg,,https://commons.wikimedia.org/w/api.php?action=query&titles=File:Hatikvah.jpg&prop=imageinfo&iiprop=url%7Csize%7Cmime&format=json,https://upload.wikimedia.org/wikipedia/commons/5/59/Hatikvah.jpg,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1909, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,1907-1908,he,poem,Naftali Herz Imber,yes,1,manual_download,Downloaded original Commons JPEG.,Short excerpt (first stanza + chorus + signature); flag length in quality.notes.,,1
commons__hebrew_calligraphy,category,candidate,medium,Wikimedia Commons,Wikimedia Commons — Category:Hebrew calligraphy,"Commons category for Hebrew calligraphy images: ~74 files plus subcategories, including illuminated manuscripts and ketubot. Mixed PD / CC by file. Useful for calligraphy and letter-shape images, distinct from the handwriting-specific category.",https://commons.wikimedia.org/wiki/Category:Hebrew_calligraphy,,,,https://commons.wikimedia.org/wiki/Category:Hebrew-language_manuscripts; https://commons.wikimedia.org/wiki/Category:Handwritten_Hebrew_letters,mixed,,,,,,Category-level; individual file rights vary. Check each file page.,,unverified,,mixed,he,manuscript; other,,mixed,74,api,Use MediaWiki API to enumerate files. Verify each file page before ingesting — rights vary per file.,~74 files plus subcategories. Good for illuminated MSS and ketubot. Distinct from the handwriting-focused categories — may surface decorative/scribal material. Do not assume category-wide rights — check each file.,,1
commons__hebrew_language_manuscripts,category,candidate,medium,Wikimedia Commons,Wikimedia Commons — Category:Hebrew-language manuscripts,"Broad parent Commons category covering Hebrew-language manuscript images: 17 subcategories and ~105 direct files including Cairo Geniza items, Hebrew Bible manuscripts, illuminated Hebrew MSS, Wellcome Collection items, Damascus Pentateuch, and more. Mixed PD / CC / CC BY-SA by file.",https://commons.wikimedia.org/wiki/Category:Hebrew-language_manuscripts,,,,https://commons.wikimedia.org/wiki/Category:Handwritten_Hebrew_letters; https://commons.wikimedia.org/wiki/Category:Hebrew_calligraphy,mixed,,,,,,Category-level; individual file rights vary. Check each file page.,,unverified,,mixed,he; ar; other,manuscript; other,,mixed,105,api,Use MediaWiki API to enumerate files and sub-categories. Verify each file page before ingesting — rights vary per file.,Discovery source: 17 subcategories + ~105 direct files. Broader parent of commons__handwritten_hebrew_letters and commons__hebrew_calligraphy. Do not assume category-wide rights — check each file. Priority: explore subcategories for overlooked material not yet in the corpus.,,1
commons__hirsch_torah_letter_1878,item,verified,medium,Wikimedia Commons,S. R. Hirsch handwritten Hebrew Torah-thoughts letter (1878),"Three-sheet handwritten Hebrew letter on Torah thoughts and fundamentals by Rabbi Samson Raphael Hirsch (1808-1888), written in Frankfurt, dated 1878. Adds 19th-century German rabbinical Hebrew hand to the corpus.","https://commons.wikimedia.org/wiki/File:Letters_with_Torah_thoughts_and_fundamentals_of_Torah_in_Hebrew,_from_Rabbi_Samson_Refael_Hirsch._1878.jpg",,,https://upload.wikimedia.org/wikipedia/commons/4/43/Letters_with_Torah_thoughts_and_fundamentals_of_Torah_in_Hebrew%2C_from_Rabbi_Samson_Refael_Hirsch._1878.jpg,"https://commons.wikimedia.org/wiki/File:Letters_with_Torah_thoughts_and_fundamentals_of_Torah_in_Hebrew,_from_Rabbi_Samson_Refael_Hirsch._1878.II.jpg; https://commons.wikimedia.org/wiki/File:Letters_with_Torah_thoughts_and_fundamentals_of_Torah_in_Hebrew,_from_Rabbi_Samson_Refael_Hirsch._1878.III.jpg",public_domain,PDM-1.0,true,true,true,false,"The author died in 1888, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1878,he,letter,Samson Raphael Hirsch,yes,3,manual_download,"Downloaded all three Commons JPEG sheets (I, II, III).",Frankfurt provenance; 19th-century German rabbinical Hebrew hand.,,1
commons__judah_halevi_letter_ts_8j18_5,item,rejected,high,Wikimedia Commons,Cairo Geniza letter attributed to Judah ha-Levi (T-S 8J18.5),"Cairo Geniza letter attributed to the poet and philosopher Judah ha-Levi (d. 1141), Cambridge Taylor-Schechter shelf-mark T-S 8J18.5.",https://commons.wikimedia.org/wiki/File:Letter_(T-S_8J18.5).jpg,https://commons.wikimedia.org/wiki/File:Letter_(T-S_8J18.5).jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1140,he,letter,Judah ha-Levi,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__kafka_hebrew_writings,item,verified,high,Wikimedia Commons,Franz Kafka — Hebrew language exercise notebook spread (Max Brod estate),"Open-notebook spread of Franz Kafka's late-life Hebrew language exercises, from the Max Brod literary estate at the National Library of Israel. The Hebrew here is Kafka's own hand; scholars have noted his Hebrew teacher's hand also appears in this notebook elsewhere.",https://commons.wikimedia.org/wiki/File:Franz_Kafka_-_Hebrew_writings_-_Literary_Estate_Max_Brod_-_National_Library_of_Israel.jpg,https://commons.wikimedia.org/wiki/File:Franz_Kafka_-_Hebrew_writings_-_Literary_Estate_Max_Brod_-_National_Library_of_Israel.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,before 1925,he,notebook,Franz Kafka,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__kook_letter_12_tammuz_1928,item,rejected,seed,Wikimedia Commons,Rav Kook letter for 12 Tammuz 5688 (22 June 1928),"Single-page handwritten Hebrew letter by Rabbi Abraham Isaac Kook (d. 1935), dated 22 June 1928 (12 Tammuz 5688), reproduced via the Doar HaYom newspaper.",https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%90%D7%91%D7%A8%D7%94%D7%9D_%D7%99%D7%A6%D7%97%D7%A7_%D7%94%D7%9B%D7%94%D7%9F_%D7%A7%D7%95%D7%A7_%D7%9C%D7%9B%D7%91%D7%95%D7%93_%D7%99%D7%91_%D7%91%D7%AA%D7%9E%D7%95%D7%96_%D7%AA%D7%A8%D7%A4%D7%97.jpg,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/%D7%9E%D7%9B%D7%AA%D7%91_%D7%90%D7%91%D7%A8%D7%94%D7%9D_%D7%99%D7%A6%D7%97%D7%A7_%D7%94%D7%9B%D7%94%D7%9F_%D7%A7%D7%95%D7%A7_%D7%9C%D7%9B%D7%91%D7%95%D7%93_%D7%99%D7%91_%D7%91%D7%AA%D7%9E%D7%95%D7%96_%D7%AA%D7%A8%D7%A4%D7%97.jpg,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1935, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 80 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1928,he,letter,Abraham Isaac Kook,yes,1,manual_download,Downloaded original Commons JPEG.,Reproduction via Doar HaYom newspaper; contrast may be limited.,,2
commons__landsberg_letter_1859,item,verified,medium,Wikimedia Commons,"Rabbi Moshe Landsberg letter to Sir Moses Montefiore, Posen (1859)","Two-page (front and back) handwritten Hebrew letter from Rabbi Moshe Landsberg to Sir Moses Montefiore, written from Posen in 1859. 300 dpi scan.","https://commons.wikimedia.org/wiki/File:Letter_from_Rabbi_Moshe_Landsberg,_Posen_1859_(F).jpg",,,https://upload.wikimedia.org/wikipedia/commons/8/83/Letter_from_Rabbi_Moshe_Landsberg%2C_Posen_1859_%28F%29.jpg,"https://commons.wikimedia.org/wiki/File:Letter_from_Rabbi_Moshe_Landsberg,_Posen_1859_(B).jpg",public_domain,PDM-1.0,true,true,true,false,"This file has been identified as being free of known restrictions under copyright law, including all related and neighboring rights.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1859,he,letter,Moshe Landsberg,yes,2,manual_download,Downloaded both Commons JPEGs (front and back of single sheet).,Author death year not on file page; PDM-1.0 tag asserts free of known restrictions.,,1
commons__leibowitz_letter_about_kook,item,rejected,high,Wikimedia Commons,Letter of Rav Boruch Ber Leibowitz about Rav Kook,"Handwritten Hebrew letter by Rabbi Boruch Ber Leibowitz (1862-1939), Kamenetz rosh yeshiva, regarding Rav Kook. Written before 1936.",https://commons.wikimedia.org/wiki/File:Letter_of_Rav_Boruch_Ber_Leibowitz_About_Rav_Kook.jpg,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Letter_of_Rav_Boruch_Ber_Leibowitz_About_Rav_Kook.jpg,,public_domain,LicenseRef-Public-Domain-Israel,true,true,true,false,This work or image is now in the public domain because its term of copyright has expired in Israel.,,primary_page_checked,2026-05-11,before 1936,he,letter,Boruch Ber Leibowitz,yes,1,manual_download,Downloaded original Commons JPEG.,File page omits death year (Leibowitz d. 1939 externally documented); PD-Israel claim verified on primary page.,,2
commons__leningrad_codex_folio_474a,item,rejected,high,Wikimedia Commons,"Leningrad Codex, illuminated cover page (folio 474a, c. 1010 CE)","Illuminated geometric carpet page (folio 474a) of the Leningrad Codex (Saint Petersburg, RNL Firk. B 19A) — the oldest complete Hebrew Bible manuscript, copied and vocalised by Shmuel ben Ya'akov around 1010 CE.",https://commons.wikimedia.org/wiki/File:Leningrad_Codex_Folio_474a.jpg,https://commons.wikimedia.org/wiki/File:Leningrad_Codex_Folio_474a.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1010,he,notebook,Shmuel ben Ya'akov,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__mahzor_vitry_1204,item,rejected,high,Wikimedia Commons,Mahzor Vitry — illuminated leaf of the 1204 manuscript copy,"Illuminated leaf from a 1204 manuscript copy of Mahzor Vitry, a French Jewish liturgical-halakhic compendium. The text is attributed to Simcha ben Samuel of Vitry (d. 1105); the handwriting on this leaf is the work of an anonymous 1204 scribe.",https://commons.wikimedia.org/wiki/File:Mahzor_Vitry.jpg,https://commons.wikimedia.org/wiki/File:Mahzor_Vitry.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1204,he,notebook,Unknown 13th-century scribe; Simcha ben Samuel of Vitry,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__maimonides_responsum_ts_ns_163_57,item,rejected,high,Wikimedia Commons,Working note in Maimonides' hand (Cairo Geniza T-S NS 163.57),Cairo Geniza leaf attributed to Moses Maimonides' personal hand: a two-column working note / draft list (Cambridge T-S NS 163.57). One of the few surviving leaves identified as Maimonides' autograph.,https://commons.wikimedia.org/wiki/File:T-S_NS_163.57.jpg,https://commons.wikimedia.org/wiki/File:T-S_NS_163.57.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1180,he,draft,Moses Maimonides,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__manger_unter_di_khurves,item,verified,seed,Wikimedia Commons,Manuscript of Itzik Manger's 'Unter di Khurves',"Yiddish handwritten manuscript in Hebrew script. 'Unter di Khurves' (Among the Ruins) by Itzik Manger, 1939.",https://commons.wikimedia.org/wiki/File:Manuscript_of_Itzik_Manger%27s_Unter_di_Khurves_I.jpg,,,https://upload.wikimedia.org/wikipedia/commons/3/35/Manuscript_of_Itzik_Manger%27s_Unter_di_Khurves_I.jpg,,cc_by_sa,CC-BY-SA-3.0,true,true,true,true,Wikimedia Commons file page; license: CC BY-SA 3.0.,https://creativecommons.org/licenses/by-sa/3.0/,primary_page_checked,2026-05-23,1939,yi,draft,Itzik Manger,yes,,api,Wikimedia Commons API download.,,,1
commons__mardumsk_haskama_1931,item,verified,seed,Wikimedia Commons,Approbation by the Radomsk Rebbe (1931),"Single-page handwritten Hebrew rabbinic approbation (haskama) by the Radomsk Rebbe Shlomo Hanokh HaKohen Rabinowicz (d. 1942), dated 6 September 1931, written for a book by Rabbi Shlomo Stenzl.",https://commons.wikimedia.org/wiki/File:%D7%94%D7%A1%D7%9B%D7%9E%D7%AA_%D7%94%D7%A8%D7%91%D7%99_%D7%9E%D7%A8%D7%93%D7%95%D7%9E%D7%A1%D7%A7_%D7%9C%D7%A1%D7%A4%D7%A8%D7%95_%D7%A9%D7%9C_%D7%A8%D7%91%D7%99_%D7%A9%D7%9C%D7%9E%D7%94_%D7%A9%D7%98%D7%A0%D7%A6%D7%9C.jpg,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/%D7%94%D7%A1%D7%9B%D7%9E%D7%AA_%D7%94%D7%A8%D7%91%D7%99_%D7%9E%D7%A8%D7%93%D7%95%D7%9E%D7%A1%D7%A7_%D7%9C%D7%A1%D7%A4%D7%A8%D7%95_%D7%A9%D7%9C_%D7%A8%D7%91%D7%99_%D7%A9%D7%9C%D7%9E%D7%94_%D7%A9%D7%98%D7%A0%D7%A6%D7%9C.jpg,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,1931,he,letter,Shlomo Hanokh HaKohen Rabinowicz,yes,1,manual_download,Downloaded original Commons JPEG.,Rabbinic cursive script — note in entry quality.notes.,,1
commons__mira_ben_ari_letter,item,verified,seed,Wikimedia Commons,Handwritten Hebrew letter by Mira Ben-Ari,"Single-page handwritten Hebrew letter by Mira Ben-Ari (1926-1948), undated; must precede the author's death in 1948.",https://commons.wikimedia.org/wiki/File:%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%9B%D7%AA%D7%91_%D7%99%D7%93%D7%94_%D7%A9%D7%9C_%D7%9E%D7%99%D7%A8%D7%94_%D7%91%D7%9F-_%D7%90%D7%A8%D7%99.jpg,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/%D7%9E%D7%9B%D7%AA%D7%91_%D7%91%D7%9B%D7%AA%D7%91_%D7%99%D7%93%D7%94_%D7%A9%D7%9C_%D7%9E%D7%99%D7%A8%D7%94_%D7%91%D7%9F-_%D7%90%D7%A8%D7%99.jpg,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-09,before 1948,he,letter,Mira Ben-Ari,yes,1,manual_download,Downloaded original Commons JPEG.,Date precision is bounded by author lifespan (1926-1948); record as before_1948.,,1
commons__more_nevuchim_yemenite,item,rejected,medium,Wikimedia Commons,Yemenite manuscript of Maimonides' Moreh Nevuchim — opening spread (13th-14th c.),"13th–14th-century Yemenite manuscript copy of the Hebrew translation of Maimonides' Moreh Nevuchim (Guide for the Perplexed). Two-page opening spread; underlying text is by Maimonides (d. 1204), handwriting is by an anonymous Yemenite scribe.",https://commons.wikimedia.org/wiki/File:More-Nevuchim-Yemenite-manuscipt.jpg,https://commons.wikimedia.org/wiki/File:More-Nevuchim-Yemenite-manuscipt.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,13th-14th century,he,notebook,Unknown Yemenite scribe; Moses Maimonides,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__obadiah_proselyte_doc16_baruch_aleppo,item,rejected,medium,Wikimedia Commons,"Cairo Geniza letter of Barukh ben Isaac of Aleppo to Obadiah the Proselyte (Bodleian MS Heb. a. 3, fol. 1b)","Cairo Geniza letter from Barukh ben Isaac of Aleppo to Obadiah the Proselyte, 12th century; identified as Document XVI in the modern Obadiah dossier. Held at the Bodleian Libraries (MS Heb. a. 3, fol. 1b).","https://commons.wikimedia.org/wiki/File:Cairo_Geniza_-_Obadiah_the_Proselyte,_Document_XVI_-_letter_of_Barukh_ben_Isaac_of_Aleppo_(Bodleian_Library,_MS._Heb._a._3,_fol._1b).jpg","https://commons.wikimedia.org/wiki/File:Cairo_Geniza_-_Obadiah_the_Proselyte,_Document_XVI_-_letter_of_Barukh_ben_Isaac_of_Aleppo_(Bodleian_Library,_MS._Heb._a._3,_fol._1b).jpg",,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1150,he,letter,Barukh ben Isaac of Aleppo,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__obadiah_proselyte_kaufmann_ms24,item,rejected,high,Wikimedia Commons,Memoir of Obadiah the Proselyte — Kaufmann Genizah Collection MS 24,12th-century Cairo Geniza scroll containing the autobiographical memoir of Obadiah the Proselyte (Norman convert to Judaism); Kaufmann Genizah Collection MS 24 (Hungarian Academy of Sciences). Four documents spread across the two folios.,"https://commons.wikimedia.org/wiki/File:Cairo_Geniza_-_Obadiah_Scroll,_Document_II_(Kaufmann_Genizah_Collection,_MS_24,_f._1r).jpg","https://commons.wikimedia.org/wiki/File:Cairo_Geniza_-_Obadiah_Scroll,_Document_II_(Kaufmann_Genizah_Collection,_MS_24,_f._1r).jpg",,,"https://commons.wikimedia.org/wiki/File:Cairo_Geniza_-_Obadiah_Scroll,_Document_III_(Kaufmann_Genizah_Collection,_MS_24,_f._1v).jpg; https://commons.wikimedia.org/wiki/File:Cairo_Geniza_-_Obadiah_Scroll,_Document_VIII_(Kaufmann_Genizah_Collection,_MS_24,_f._2r).jpg; https://commons.wikimedia.org/wiki/File:Cairo_Geniza_-_Obadiah_Scroll,_Document_IX_(Kaufmann_Genizah_Collection,_MS_24,_f._2v).jpg",public_domain,PDM-1.0,true,true,true,false,"The author died in 1150, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1150,he,other,Obadiah the Proselyte,yes,4,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__pelliot_hebreu_1,item,verified,high,Wikimedia Commons,Pelliot Hébreu 1 — Hebrew letter from Dandan-Uiliq (8th-9th c.),"Pelliot Hébreu 1 (BnF) — an 8th–9th-century Hebrew business letter on paper, found by Paul Pelliot at Dandan-Uiliq on the southern Silk Road. One of the earliest dated Hebrew documents outside the biblical corpus.",https://commons.wikimedia.org/wiki/File:Pelliot_h%C3%A9breu_1.jpg,https://commons.wikimedia.org/wiki/File:Pelliot_h%C3%A9breu_1.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,8th-9th century,he,letter,Unknown Persian Jewish merchant,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,1
commons__pirke_rebbe_eliezer_yemenite_1876,item,rejected,medium,Wikimedia Commons,Yemenite manuscript of Pirke de-Rabbi Eliezer (1876) — photograph by User:Davidbena,"Title-page leaf of an 1876 Yemenite manuscript copy of Pirke de-Rabbi Eliezer; the underlying manuscript is public domain, the photograph was released CC BY-SA 4.0 on Commons by uploader User:Davidbena. Both rights tracks are clean per the AGENTS.md CC-BY-SA caveat.",https://commons.wikimedia.org/wiki/File:Yemenite_MSS._(Pirke_Rebbe_Eliezer)_Copied_in_1876.jpg,https://commons.wikimedia.org/wiki/File:Yemenite_MSS._(Pirke_Rebbe_Eliezer)_Copied_in_1876.jpg,,,,cc_by_sa,CC-BY-SA-4.0,true,true,true,true,This file is licensed under the Creative Commons Attribution-Share Alike 4.0 International license.,https://creativecommons.org/licenses/by-sa/4.0/,primary_page_checked,2026-05-11,1876,he,notebook,Unknown 19th-century Yemenite scribe; Davidbena (Commons photographer),yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__provencal_hebrew_cursive_17c,item,rejected,medium,Wikimedia Commons,17th-century Provençal Hebrew cursive prayer leaf,Leaf of a 17th-century Provençal Hebrew prayerbook used on Wikipedia to illustrate Provençal Hebrew cursive script. Opens with the heading 'Tefilat Shacharit' and lists daily Psalms below.,https://commons.wikimedia.org/wiki/File:17th_century_Proven%C3%A7al_Hebrew_cursive_script.png,https://commons.wikimedia.org/wiki/File:17th_century_Proven%C3%A7al_Hebrew_cursive_script.png,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1650,he,notebook,Unknown 17th-century Provençal scribe,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
commons__rachel_aqara_1928,item,verified,seed,Wikimedia Commons,Rachel Bluwstein handwritten poem 'Aqara' (1928),"Handwritten Hebrew manuscript of Rachel Bluwstein's poem 'Aqara' (Barren Woman), dated 1928.",https://commons.wikimedia.org/wiki/File:Rachel%27s_handwritten_1928_poem_%E2%80%9CAqara%E2%80%9D.jpg,,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Rachel%27s_handwritten_1928_poem_%E2%80%9CAqara%E2%80%9D.jpg,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1931, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 80 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,1928,he,poem,Rachel Bluwstein,yes,1,manual_download,Downloaded original Commons JPEG (URL uses U+201C/U+201D curly quotes).,Earlier 404 with straight-quote percent-encoding; curly-quote URL works.,,1
commons__rachel_gan_naul,item,verified,seed,Wikimedia Commons,Rachel Bluwstein handwritten poem 'Gan Naul',"Highest-resolution handwritten Hebrew manuscript of a Rachel Bluwstein poem on Commons: 'Gan Naul' (Locked Garden), from the Gnazim Institute archive.",https://commons.wikimedia.org/wiki/File:Gan_Naul_-_Rachel_IMG_3496.JPG,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Gan_Naul_-_Rachel_IMG_3496.JPG,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1931, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 80 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1929,he,poem,Rachel Bluwstein,yes,1,manual_download,Downloaded original Commons JPEG (5184x3456 high-resolution).,Photograph of original 2019; high-resolution and best HTR candidate among the Rachel manuscripts.,,1
commons__rachel_rak_al_atzmi,item,verified,high,Wikimedia Commons,Rachel Bluwstein handwritten poem 'Rak al atzmi',"Handwritten Hebrew manuscript of Rachel Bluwstein's poem 'Rak al atzmi' (Only About Myself), reportedly written near the end of her life (~1930).",https://commons.wikimedia.org/wiki/File:Rak_al_atzmi.jpg,,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Rak_al_atzmi.jpg,,public_domain,PDM-1.0,true,true,true,false,"The author died in 1931, so this work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 80 years or fewer.",https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1930,he,poem,Rachel Bluwstein,yes,1,manual_download,Downloaded original Commons JPEG.,Low-resolution scan (370x550).,,1
commons__rashi_pentateuch_paseq_crop,item,rejected,medium,Wikimedia Commons,Crop of a 14th-century Hebrew Pentateuch manuscript illustrating the paseq punctuation,"Tight crop from a 14th-century Hebrew Pentateuch manuscript, used on Wikipedia to illustrate the paseq punctuation mark. The crop is too small for HTR training but is a useful punctuation-context example.",https://commons.wikimedia.org/wiki/File:Crop_of_Hebrew_manuscript_meant_to_illustrate_Hebrew_punctuation_paseq.jpg,https://commons.wikimedia.org/wiki/File:Crop_of_Hebrew_manuscript_meant_to_illustrate_Hebrew_punctuation_paseq.jpg,,,,public_domain,PDM-1.0,true,true,true,false,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,https://creativecommons.org/publicdomain/mark/1.0/,primary_page_checked,2026-05-11,circa 1325,he,other,Unknown 14th-century scribe,yes,1,manual_download,"Downloaded the original file from upload.wikimedia.org with a descriptive User-Agent and ~2s spacing between requests, per the Commons etiquette in AGENTS.md.",License-template text on the Commons file page checked on 2026-05-11 and quoted verbatim in rights.evidence_text.,,2
